sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857193	8	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857194	7	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857195	6	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857196	51	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857197	50	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857198	5	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857199	26	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857200	25	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857201	24	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857202	23	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857203	22	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857204	21	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857205	16	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857206	20	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857207	2	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857208	19	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857209	18	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857210	17	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857211	16	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857212	15	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857213	14	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857214	13	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857215	12	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857216	15	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857217	11	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857218	10	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857219	1	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857220	9	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857221	8	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857222	7	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857223	6	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857224	57	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857225	56	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857226	55	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857227	14	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857228	42	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857229	41	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857230	40	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857231	4	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857232	39	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857233	38	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857234	46	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857235	13	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857236	37	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857237	36	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857238	35	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857239	34	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857240	33	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857241	32	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857242	31	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857243	30	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857244	3	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857245	29	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857246	45	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857247	28	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857248	27	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857249	26	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857250	25	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857251	24	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857252	23	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857253	22	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857254	21	T8	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857255	20	T8	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857256	48	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857257	47	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857258	46	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857259	45	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857260	37	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857261	12	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857262	44	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857263	43	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857264	42	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857265	41	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857266	40	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857267	4	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857268	39	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857269	38	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857270	37	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857271	36	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857272	36	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857273	35	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857274	34	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857275	33	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857276	32	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857277	31	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857278	30	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857279	3	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857280	29	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857281	28	T6	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857282	27	T6	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857283	35	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857284	48	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857285	47	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857286	28	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857287	11	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857288	46	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857289	45	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857290	44	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857291	43	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857292	42	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857293	41	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857294	40	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857295	4	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857296	39	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857297	38	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857298	27	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857299	37	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857300	36	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857301	35	T4	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857302	34	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857303	33	T4	Cattle	Feces	South Korea	Bos taurus coreanae	male
