sample-id	host_subject_id	host_age	env_local_scale	env_medium	geo_loc_name	HOST	host_sex
SRR29857035	42	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857036	41	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857037	40	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857038	4	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857039	39	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857040	22	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857041	38	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857042	37	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857043	36	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857044	35	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857045	34	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857046	33	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857047	32	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857048	31	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857049	30	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857050	3	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857051	21	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857052	29	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857053	28	T3	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857054	27	T3	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857055	19	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857056	10	T1	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857057	1	T1	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857058	48	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857059	47	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
SRR29857060	46	T2	Cattle	Feces	South Korea	Bos taurus coreanae	female
SRR29857061	45	T2	Cattle	Feces	South Korea	Bos taurus coreanae	male
